Constituency,const no,leading candidate,leading party,Leading In,Won in,Trailing in,trailing candidate,trailing party,Leading in2,Won in3,Trailing in4,Margin,Status,State
West Delhi,6,KAMALJEET SEHRAWAT,Bharatiya Janata Party,0,7,0,MAHABAL MISHRA,Aam Aadmi Party,0,0,0,199013,Result Declared,Delhi
AMBALA,1,VARUN CHAUDHRY,Indian National Congress,0,5,0,BANTO KATARIA,Bharatiya Janata Party,0,5,0,49036,Result Declared,Haryana
BHIWANI-MAHENDRAGARH,8,DHARAMBIR SINGH,Bharatiya Janata Party,0,5,0,RAO DAN SINGH,Indian National Congress,0,5,0,41510,Result Declared,Haryana
FARIDABAD,10,KRISHAN PAL,Bharatiya Janata Party,0,5,0,MAHENDER PRATAP SINGH,Indian National Congress,0,5,0,172914,Result Declared,Haryana
GURGAON,9,RAO INDERJIT SINGH,Bharatiya Janata Party,0,5,0,RAJ BABBAR,Indian National Congress,0,5,0,75079,Result Declared,Haryana
HISAR,4,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,0,5,0,RANJIT SINGH,Bharatiya Janata Party,0,5,0,63381,Result Declared,Haryana
KARNAL,5,MANOHAR LAL,Bharatiya Janata Party,0,5,0,DIVYANSHU BUDHIRAJA,Indian National Congress,0,5,0,232577,Result Declared,Haryana
KURUKSHETRA,2,NAVEEN JINDAL,Bharatiya Janata Party,0,5,0,DR SUSHIL GUPTA,Aam Aadmi Party,0,0,0,29021,Result Declared,Haryana
ROHTAK,7,DEEPENDER SINGH HOODA,Indian National Congress,0,5,0,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,0,5,0,345298,Result Declared,Haryana
SIRSA,3,SELJA,Indian National Congress,0,5,0,ASHOK TANWAR,Bharatiya Janata Party,0,5,0,268497,Result Declared,Haryana
SONIPAT,6,SATPAL BRAHAMCHARI,Indian National Congress,0,5,0,MOHAN LAL BADOLI,Bharatiya Janata Party,0,5,0,21816,Result Declared,Haryana
Dadar & Nagar Haveli,2,DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party,0,1,0,AJIT RAMJIBHAI MAHALA,Indian National Congress,0,0,0,57584,Result Declared,Dadra & Nagar Haveli and Daman & Diu
Daman & Diu,1,PATEL UMESHBHAI BABUBHAI,Independent,0,1,0,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,0,1,0,6225,Result Declared,Dadra & Nagar Haveli and Daman & Diu
ARAKKONAM,7,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,0,22,0,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,0,0,0,306559,Result Declared,Tamilnadu
ARANI,12,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,0,22,0,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,0,0,0,208766,Result Declared,Tamilnadu
CHENNAI CENTRAL,4,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,0,22,0,VINOJ,Bharatiya Janata Party,0,0,0,244689,Result Declared,Tamilnadu
CHENNAI NORTH,2,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,0,22,0,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,0,0,0,339222,Result Declared,Tamilnadu
CHENNAI SOUTH,3,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,0,22,0,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,0,0,0,225945,Result Declared,Tamilnadu
CHIDAMBARAM,27,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,0,2,0,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,0,0,0,103554,Result Declared,Tamilnadu
COIMBATORE,20,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,0,22,0,ANNAMALAI K,Bharatiya Janata Party,0,0,0,118068,Result Declared,Tamilnadu
CUDDALORE,26,M.K. VISHNUPRASAD,Indian National Congress,0,9,0,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,0,0,0,185896,Result Declared,Tamilnadu
DHARMAPURI,10,MANI. A.,Dravida Munnetra Kazhagam,0,22,0,SOWMIYA ANBUMANI,Pattali Makkal Katchi,0,0,0,21300,Result Declared,Tamilnadu
DINDIGUL,22,SACHITHANANTHAM R,Communist Party of India  (Marxist),0,2,0,MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,0,0,0,443821,Result Declared,Tamilnadu
ERODE,17,K E PRAKASH,Dravida Munnetra Kazhagam,0,22,0,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,0,0,0,236566,Result Declared,Tamilnadu
KALLAKURICHI,14,MALAIYARASAN D,Dravida Munnetra Kazhagam,0,22,0,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,0,0,0,53784,Result Declared,Tamilnadu
KANCHEEPURAM,6,SELVAM. G,Dravida Munnetra Kazhagam,0,22,0,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,0,0,0,221473,Result Declared,Tamilnadu
KANNIYAKUMARI,39,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,0,9,0,RADHAKRISHNAN P,Bharatiya Janata Party,0,0,0,179907,Result Declared,Tamilnadu
KARUR,23,JOTHIMANI. S,Indian National Congress,0,9,0,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,0,0,0,166816,Result Declared,Tamilnadu
KRISHNAGIRI,9,GOPINATH K,Indian National Congress,0,9,0,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,0,0,0,192486,Result Declared,Tamilnadu
MADURAI,32,VENKATESAN S,Communist Party of India  (Marxist),0,2,0,RAAMA SREENIVASAN,Bharatiya Janata Party,0,0,0,209409,Result Declared,Tamilnadu
MAYILADUTHURAI,28,SUDHA R,Indian National Congress,0,9,0,BABU P,All India Anna Dravida Munnetra Kazhagam,0,0,0,271183,Result Declared,Tamilnadu
NAGAPATTINAM,29,SELVARAJ V,Communist Party of India,0,2,0,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,0,0,0,208957,Result Declared,Tamilnadu
NAMAKKAL,16,MATHESWARAN V S,Dravida Munnetra Kazhagam,0,22,0,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,0,0,0,29112,Result Declared,Tamilnadu
NILGIRIS,19,RAJA A,Dravida Munnetra Kazhagam,0,22,0,DR MURUGAN L,Bharatiya Janata Party,0,0,0,240585,Result Declared,Tamilnadu
PERAMBALUR,25,ARUN NEHRU,Dravida Munnetra Kazhagam,0,22,0,CHANDRAMOHAN N D,All India Anna Dravida Munnetra Kazhagam,0,0,0,389107,Result Declared,Tamilnadu
POLLACHI,21,ESWARASAMY K,Dravida Munnetra Kazhagam,0,22,0,KARTHIKEYAN A,All India Anna Dravida Munnetra Kazhagam,0,0,0,252042,Result Declared,Tamilnadu
RAMANATHAPURAM,35,NAVASKANI K,Indian Union Muslim League,0,1,0,PANNEERSELVAM O S/O OTTAKARATHEVAR,Independent,0,0,0,166782,Result Declared,Tamilnadu
SALEM,15,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,0,22,0,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,0,0,0,70357,Result Declared,Tamilnadu
SIVAGANGA,31,KARTI P CHIDAMBARAM,Indian National Congress,0,9,0,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,0,0,0,205664,Result Declared,Tamilnadu
SRIPERUMBUDUR,5,T R BAALU,Dravida Munnetra Kazhagam,0,22,0,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,0,0,0,487029,Result Declared,Tamilnadu
TENKASI,37,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,0,22,0,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,0,0,0,196199,Result Declared,Tamilnadu
THANJAVUR,30,MURASOLI S,Dravida Munnetra Kazhagam,0,22,0,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,0,0,0,319583,Result Declared,Tamilnadu
THENI,33,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,0,22,0,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,0,0,0,278825,Result Declared,Tamilnadu
THOOTHUKKUDI,36,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,0,22,0,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,0,0,0,392738,Result Declared,Tamilnadu
TIRUCHIRAPPALLI,24,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,0,1,0,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,0,0,0,313094,Result Declared,Tamilnadu
TIRUNELVELI,38,ROBERT BRUCE C,Indian National Congress,0,9,0,NAINAR NAGENTHRAN,Bharatiya Janata Party,0,0,0,165620,Result Declared,Tamilnadu
TIRUPPUR,18,"SUBBARAYAN, K.",Communist Party of India,0,2,0,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,0,0,0,125928,Result Declared,Tamilnadu
TIRUVALLUR,1,Sasikanth Senthil,Indian National Congress,0,9,0,"Balaganapathy, V. Pon",Bharatiya Janata Party,0,0,0,572155,Result Declared,Tamilnadu
TIRUVANNAMALAI,11,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,0,22,0,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,0,0,0,233931,Result Declared,Tamilnadu
VELLORE,8,DM KATHIR ANAND,Dravida Munnetra Kazhagam,0,22,0,AC SHANMUGAM,Bharatiya Janata Party,0,0,0,215702,Result Declared,Tamilnadu
VILUPPURAM,13,RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,0,2,0,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,0,0,0,70703,Result Declared,Tamilnadu
VIRUDHUNAGAR,34,MANICKAM TAGORE B,Indian National Congress,0,9,0,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,0,0,0,4379,Result Declared,Tamilnadu
HAMIRPUR,3,ANURAG SINGH THAKUR,Bharatiya Janata Party,0,4,0,SATPAL RAIZADA,Indian National Congress,0,0,0,182357,Result Declared,Himachal Pradhesh
KANGRA,1,DR RAJEEV BHARDWAJ,Bharatiya Janata Party,0,4,0,ANAND SHARMA,Indian National Congress,0,0,0,251895,Result Declared,Himachal Pradhesh
MANDI,2,KANGNA RANAUT,Bharatiya Janata Party,0,4,0,VIKRAMADITYA SINGH,Indian National Congress,0,0,0,74755,Result Declared,Himachal Pradhesh
SHIMLA,4,Suresh Kumar Kashyap,Bharatiya Janata Party,0,4,0,Vinod Sultanpuri,Indian National Congress,0,0,0,91451,Result Declared,Himachal Pradhesh
Barpeta,3,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,0,1,0,DEEP BAYAN,Indian National Congress,0,3,0,222351,Result Declared,Assam
Darrang-Udalguri,4,DILIP SAIKIA,Bharatiya Janata Party,0,9,0,MADHAB RAJBANGSHI,Indian National Congress,0,3,0,329012,Result Declared,Assam
Dhubri,2,RAKIBUL HUSSAIN,Indian National Congress,0,3,0,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,0,0,0,1012476,Result Declared,Assam
Dibrugarh,13,SARBANANDA SONOWAL,Bharatiya Janata Party,0,9,0,LURINJYOTI GOGOI,Assam Jatiya Parishad,0,0,0,279321,Result Declared,Assam
Diphu,6,AMARSING TISSO,Bharatiya Janata Party,0,9,0,J. I. KATHAR,Independent,0,0,0,147603,Result Declared,Assam
Guwahati,5,BIJULI KALITA MEDHI,Bharatiya Janata Party,0,9,0,MIRA BORTHAKUR GOSWAMI,Indian National Congress,0,3,0,251090,Result Declared,Assam
Jorhat,14,GAURAV GOGOI,Indian National Congress,0,3,0,TOPON KUMAR GOGOI,Bharatiya Janata Party,0,9,0,144393,Result Declared,Assam
Karimganj,7,KRIPANATH MALLAH,Bharatiya Janata Party,0,9,0,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,0,3,0,18360,Result Declared,Assam
Kaziranga,10,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,0,9,0,ROSELINA TIRKEY,Indian National Congress,0,3,0,248947,Result Declared,Assam
Kokrajhar,1,JOYANTA BASUMATARY,"United People’s Party, Liberal",0,1,0,KAMPA BORGOYARI,Bodoland Peoples Front,0,0,0,51583,Result Declared,Assam
Lakhimpur,12,PRADAN BARUAH,Bharatiya Janata Party,0,9,0,UDAY SHANKAR HAZARIKA,Indian National Congress,0,3,0,201257,Result Declared,Assam
Nagaon,9,PRADYUT BORDOLOI,Indian National Congress,0,3,0,SURESH BORAH,Bharatiya Janata Party,0,9,0,212231,Result Declared,Assam
Silchar,8,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,0,9,0,SURYA KANTA SARKAR,Indian National Congress,0,3,0,264311,Result Declared,Assam
Sonitpur,11,RANJIT DUTTA,Bharatiya Janata Party,0,9,0,PREMLAL GANJU,Indian National Congress,0,3,0,361408,Result Declared,Assam
Andaman & Nicobar Islands,1,BISHNU PADA RAY,Bharatiya Janata Party,0,1,0,KULDEEP RAI SHARMA,Indian National Congress,0,0,0,24396,Result Declared,Andaman & Nicobar Islands
,,,,,,,,,,,,,,
